product_id,category,subcategory,color,material,description,price
P00001,Shirts,Formal Shirt,White,Cotton Blend,MILDIN Men Slim Fit Solid Spread Collar Formal Shirt.,71.22
P00002,T-Shirts,Crew Neck T-Shirt,Olive Green,Corduroy,London Crew Men Solid Round Neck Pure Cotton Green T-Shirt.,38.59
P00003,Shirts,Formal Shirt,Burgundy,Linen,A burgundy formal shirt made from linen fabric. Perfect for office wear and formal occasions.,81.41
P00004,Shirts,Formal Shirt,Terracotta,Cashmere Blend,A terracotta formal shirt made from cashmere blend fabric. Perfect for office wear and formal occasions.,86.19
P00005,Shirts,Oxford Shirt,Burgundy,Cashmere Blend,A burgundy oxford shirt made from cashmere blend fabric. Perfect for casual wear.,36.2
P00006,Shirts,Oxford Shirt,Terracotta,Corduroy,A terracotta oxford shirt made from corduroy fabric. Perfect for casual wear.,43.98
P00007,Shirts,Oxford Shirt,Olive Green,French Terry,A olive green oxford shirt made from french terry fabric. Perfect for casual wear.,67.54
P00008,Shirts,Oxford Shirt,Heather Grey,Poly-Spandex,A heather grey oxford shirt made from poly-spandex blend fabric. Perfect for casual wear.,59.12
P00009,Shirts,Casual Shirt,Olive Green,Poly-Spandex,A olive green casual shirt made from poly-spandex blend fabric. Perfect for casual wear.,64.67
P00010,Shirts,Casual Shirt,Heather Grey,Linen,A heather grey casual shirt made from linen fabric. Perfect for casual wear.,50.32
P00011,Shirts,Casual Shirt,White,Cashmere Blend,A white casual shirt made from cashmere blend fabric. Perfect for casual wear.,84.62
P00012,Shirts,Casual Shirt,Charcoal,Corduroy,A charcoal casual shirt made from corduroy fabric. Perfect for casual wear.,82.08
P00013,Shirts,Denim Shirt,White,Corduroy,A white denim shirt made from corduroy fabric. Perfect for casual wear.,66.3
P00014,Shirts,Denim Shirt,Charcoal,French Terry,A charcoal denim shirt made from french terry fabric. Perfect for casual wear.,91.15
P00015,Shirts,Denim Shirt,Burgundy,Poly-Spandex,A burgundy denim shirt made from poly-spandex blend fabric. Perfect for casual wear.,74.79
P00016,Shirts,Denim Shirt,Terracotta,Linen,A terracotta denim shirt made from linen fabric. Perfect for casual wear.,50.23
P00017,Shirts,Flannel Shirt,Burgundy,Linen,A burgundy flannel shirt made from linen fabric. Perfect for casual wear.,72.6
P00018,Shirts,Flannel Shirt,Terracotta,Cashmere Blend,A terracotta flannel shirt made from cashmere blend fabric. Perfect for casual wear.,48.75
