transaction_id,customer_id,transaction_date,product_id,category,subcategory,color,material,unit_price,discount,final_unit_price,quantity,total_amount
T0000001,CUST_00001,2025-01-15,P00267,Blazers & Suits,Tailored Blazer,Burgundy,French Terry,149.43,15.0,127.02,1,127.02
T0000002,CUST_00001,2025-02-14,P00133,Shorts,Running Shorts,White,Corduroy,64.11,10.0,57.7,1,57.7
T0000003,CUST_00001,2025-04-22,P00265,Blazers & Suits,Tailored Blazer,White,Cashmere Blend,158.93,10.0,143.04,1,143.04
T0000004,CUST_00001,2025-08-05,P00001,Shirts,Formal Shirt,White,French Terry,69.82,10.0,62.84,2,125.68
T0000005,CUST_00001,2025-09-20,P00273,Blazers & Suits,Two-Piece Suit,Olive Green,Corduroy,134.96,0.0,134.96,1,134.96
T0000006,CUST_00001,2025-10-24,P00271,Blazers & Suits,Suit Jacket,Olive Green,Cashmere Blend,115.93,0.0,115.93,1,115.93
T0000007,CUST_00001,2025-12-03,P00267,Blazers & Suits,Tailored Blazer,Burgundy,French Terry,149.43,15.0,127.02,2,254.04
T0000008,CUST_00001,2025-12-05,P00266,Blazers & Suits,Tailored Blazer,Charcoal,Corduroy,185.87,0.0,185.87,1,185.87
T0000009,CUST_00001,2026-03-09,P00274,Blazers & Suits,Two-Piece Suit,Heather Grey,French Terry,255.4,0.0,255.4,1,255.4
T0000010,CUST_00002,2025-03-05,P00038,T-Shirts,V-Neck T-Shirt,Charcoal,Cashmere Blend,33.5,10.0,30.15,1,30.15
T0000011,CUST_00002,2025-03-18,P00122,Shorts,Denim Shorts,Charcoal,Poly-Spandex,59.89,20.0,47.91,1,47.91
T0000012,CUST_00002,2025-04-29,P00057,T-Shirts,Striped T-Shirt,Olive Green,Linen,39.71,10.0,35.74,1,35.74
T0000013,CUST_00002,2025-05-06,P00049,T-Shirts,Oversized T-Shirt,White,Poly-Spandex,53.65,15.0,45.6,1,45.6
T0000014,CUST_00002,2025-05-30,P00277,Activewear,Sports Bra,White,Linen,48.29,5.0,45.88,1,45.88
T0000015,CUST_00002,2025-06-08,P00042,T-Shirts,Polo T-Shirt,Terracotta,Poly-Spandex,51.17,10.0,46.05,1,46.05
T0000016,CUST_00002,2025-07-18,P00071,Tops,Tank Top,White,Cashmere Blend,38.12,0.0,38.12,2,76.24
T0000017,CUST_00002,2025-08-15,P00057,T-Shirts,Striped T-Shirt,Olive Green,Linen,39.71,25.0,29.78,1,29.78
T0000018,CUST_00002,2025-09-30,P00038,T-Shirts,V-Neck T-Shirt,Charcoal,Cashmere Blend,33.5,0.0,33.5,1,33.5
T0000019,CUST_00002,2025-10-10,P00127,Shorts,Cargo Shorts,Olive Green,French Terry,88.18,10.0,79.36,2,158.72
T0000020,CUST_00002,2025-10-27,P00047,T-Shirts,Henley T-Shirt,White,French Terry,59.91,10.0,53.92,3,161.76
T0000021,CUST_00002,2025-12-29,P00138,Shorts,Bermuda Shorts,Terracotta,Cashmere Blend,69.67,15.0,59.22,2,118.44
T0000022,CUST_00002,2026-01-19,P00176,Dresses & Skirts,Bodycon Dress,Heather Grey,Linen,88.74,0.0,88.74,2,177.48
T0000023,CUST_00002,2026-01-20,P00114,Pants & Jeans,Jogger Pants,Terracotta,French Terry,50.05,25.0,37.54,1,37.54
T0000024,CUST_00002,2026-05-02,P00298,Activewear,Track Pants,Heather Grey,Cashmere Blend,52.84,20.0,42.27,1,42.27
T0000025,CUST_00002,2026-07-14,P00129,Shorts,Chino Shorts,Olive Green,Poly-Spandex,47.27,0.0,47.27,1,47.27
T0000026,CUST_00002,2026-07-23,P00315,Loungewear,Lounge Pants,Burgundy,Poly-Spandex,64.78,10.0,58.3,1,58.3
T0000027,CUST_00002,2026-07-31,P00051,T-Shirts,Oversized T-Shirt,Burgundy,Cashmere Blend,46.68,0.0,46.68,2,93.36
T0000028,CUST_00003,2025-02-02,P00135,Shorts,Running Shorts,Burgundy,Poly-Spandex,36.31,10.0,32.68,2,65.36
T0000029,CUST_00003,2025-03-04,P00286,Activewear,Running Shorts,Heather Grey,Corduroy,51.31,0.0,51.31,1,51.31
T0000030,CUST_00003,2025-03-23,P00126,Shorts,Cargo Shorts,Terracotta,Corduroy,59.69,20.0,47.75,1,47.75
T0000031,CUST_00003,2025-04-10,P00130,Shorts,Chino Shorts,Heather Grey,Linen,41.11,20.0,32.89,1,32.89
T0000032,CUST_00003,2025-04-18,P00121,Shorts,Denim Shorts,White,French Terry,39.62,10.0,35.66,1,35.66
T0000033,CUST_00003,2025-07-09,P00130,Shorts,Chino Shorts,Heather Grey,Linen,41.11,0.0,41.11,1,41.11
T0000034,CUST_00003,2025-07-11,P00305,Activewear,Athletic Hoodie,Burgundy,Cashmere Blend,56.97,10.0,51.27,1,51.27
T0000035,CUST_00003,2025-07-22,P00133,Shorts,Running Shorts,White,Corduroy,64.11,15.0,54.49,1,54.49
